torso_angle_deg,hip_y_norm,shoulder_y_norm,center_y_norm,bbox_w_norm,bbox_h_norm,bbox_aspect,mean_visibility,min_visibility,hip_v_norm,shoulder_v_norm,center_v_norm,torso_angle_v_deg,bbox_w_v_norm,bbox_h_v_norm,bbox_aspect_v,label,fold,activity_type,video_name,frame_idx,timestamp_sec,fps
1.585554336181818,0.579067611694336,0.18787115414937336,0.3834693908691406,0.17549509397694762,1.0309835433959962,0.1702208778017934,0.9995277374982834,0.9992513060569763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,fold_1,ADL,fake 1.mp4,0,0.0,30.0
0.04900454372587076,0.589706548055013,0.18376156489054363,0.38673407236735025,0.23319962550776666,1.1009339650472005,0.21181961960647575,0.9994032382965088,0.9990055561065674,0.06383361816406219,-0.024657535552978394,0.01958808898925779,-9.219298754735684,0.3462271891849142,0.4197025299072261,0.24959245082809406,0,fold_1,ADL,fake 1.mp4,5,0.16666666666666666,30.0
1.8005601090653718,0.5908117930094401,0.17586280504862467,0.38333730697631835,0.26566868097009794,1.1137152353922526,0.2385425232456354,0.9992277026176453,0.998538076877594,0.006631469726562589,-0.04739255905151374,-0.020380592346191384,10.509333392037007,0.1948143327739877,0.07668762207031232,0.16033742183495797,0,fold_1,ADL,fake 1.mp4,10,0.3333333333333333,30.0
3.030748848479033,0.577733866373698,0.16501007080078126,0.3713719685872396,0.24047235479936913,1.1058275858561197,0.21745897861122682,0.9990951716899872,0.9981876015663147,-0.07846755981445286,-0.06511640548706049,-0.07179203033447257,7.381132436481966,-0.15117795702437287,-0.04732589721679714,-0.12650126780645155,0,fold_1,ADL,fake 1.mp4,15,0.5,30.0
3.166432915851817,0.576876703898112,0.1539060910542806,0.36539141337076825,0.22014069892990756,1.1122856140136719,0.19791724197375055,0.9990093261003494,0.9980133771896362,-0.0051429748535158915,-0.06662387847900392,-0.035883331298828036,0.8141044042367049,-0.12198993521676937,0.038748168945312855,-0.11725041982485762,0,fold_1,ADL,fake 1.mp4,20,0.6666666666666666,30.0
3.3655995631631477,0.5717300415039063,0.14233229955037435,0.3570311864217122,0.22156130651912778,1.1598336537679037,0.1910283554637304,0.9986454993486404,0.9970730543136597,-0.030879974365234153,-0.0694427490234375,-0.05016136169433616,1.1949998838679843,0.008523645535321311,0.285288238525391,-0.04133331906012089,0,fold_1,ADL,fake 1.mp4,25,0.8333333333333334,30.0
2.7070228839732042,0.5664896647135417,0.13636956214904786,0.35142962137858075,0.20143247434231037,1.1542003631591797,0.1745210851172164,0.9983757138252258,0.9964125156402588,-0.03144226074218759,-0.03577642440795897,-0.03360939025878884,-3.9514600751396607,-0.12077299306090444,-0.03379974365234384,-0.09904362207908401,0,fold_1,ADL,fake 1.mp4,30,1.0,30.0
3.4172133699544154,0.567574946085612,0.13923710187276203,0.353406016031901,0.16416612365436106,1.1930040995279947,0.1376072270934235,0.998023584485054,0.9953950643539429,0.006511688232421875,0.017205238342285045,0.011858367919921675,4.261142915887267,-0.22359810412769587,0.23282241821288974,-0.22148314814275744,0,fold_1,ADL,fake 1.mp4,35,1.1666666666666667,30.0
4.833540748948947,0.5534701029459635,0.13999648094177247,0.34673328399658204,0.17526474357210975,1.1799898783365885,0.1485305918798095,0.9976522773504257,0.9942643642425537,-0.08462905883789062,0.004556274414062644,-0.04003639221191391,8.497964273967188,0.06659171950649212,-0.07808532714843697,0.06554018871831602,0,fold_1,ADL,fake 1.mp4,40,1.3333333333333333,30.0
4.953854461503506,0.5549187342325846,0.1419257958730062,0.3484222730000814,0.16712500343860034,1.1446783701578775,0.14600158594240237,0.9974918961524963,0.9938793182373047,0.008691787719726562,0.0115758895874023,0.01013393402099605,0.7218822753273582,-0.048838440801056426,-0.2118690490722659,-0.01517403562444275,0,fold_1,ADL,fake 1.mp4,45,1.5,30.0
